Step,Time (years),Discounted Average Option Price,Discounted Average Spot Price
186,0.609468,11.051618,100.027581
187,0.612745,11.051618,100.030002
188,0.616022,11.051618,100.030925
189,0.619299,11.051618,100.030873
190,0.622575,11.051618,100.029811
191,0.625852,11.051618,100.031111
192,0.629129,11.051618,100.032062
193,0.632405,11.051618,100.035084
194,0.635682,11.051618,100.036939
195,0.638959,11.051618,100.038482
196,0.642236,11.051618,100.037804
197,0.645512,11.051618,100.043638
198,0.648789,11.051618,100.043900
199,0.652066,11.051618,100.037150
200,0.655342,11.051618,100.031609
201,0.658619,11.051618,100.032870
202,0.661896,11.051618,100.034914
203,0.665173,11.051618,100.037979
204,0.668449,11.051618,100.037955
205,0.671726,11.051618,100.033792
206,0.675003,11.051618,100.032797
207,0.678279,11.051618,100.026232
208,0.681556,11.051618,100.024608
209,0.684833,11.051618,100.022531
210,0.688110,11.051618,100.023450
211,0.691386,11.051618,100.020049
212,0.694663,11.051618,100.027290
213,0.697940,11.051618,100.030748
214,0.701216,11.051618,100.028612
215,0.704493,11.051618,100.027853
216,0.707770,11.051618,100.031021
217,0.711047,11.051618,100.027307
218,0.714323,11.051618,100.030345
219,0.717600,11.051618,100.029840
220,0.720877,11.051618,100.032392
221,0.724153,11.051618,100.033633
222,0.727430,11.051618,100.030768
223,0.730707,11.051618,100.028638
224,0.733984,11.051618,100.033723
225,0.737260,11.051618,100.030111
226,0.740537,11.051618,100.030848
227,0.743814,11.051618,100.034568
228,0.747090,11.051618,100.038672
229,0.750367,11.051618,100.042979
230,0.753644,10.048958,97.268454
231,0.756921,10.048958,97.269914
232,0.760197,10.048958,97.271165
233,0.763474,10.048958,97.271679
234,0.766751,10.048958,97.276054
235,0.770027,10.048958,97.277919
236,0.773304,10.048958,97.277710
237,0.776581,10.048958,97.279639
238,0.779858,10.048958,97.277717
239,0.783134,10.048958,97.282707
240,0.786411,10.049431,97.280608
241,0.789688,10.047577,97.279236
242,0.792964,10.047577,97.276667
243,0.796241,10.047577,97.274550
244,0.799518,10.047577,97.272221
245,0.802795,10.047577,97.273843
246,0.806071,10.047577,97.274557
247,0.809348,10.047577,97.275386
248,0.812625,10.047616,97.277244
249,0.815901,10.047516,97.276869
250,0.819178,10.046039,97.283386
